main_item,main_item_volume,neighbor_item,neighbor_volume,concurrence
3495120,1553.6639999999998,4125692,526.5,0.0
3495120,1553.6639999999998,91863,237.60000000000002,0.0
4159739,12509.7,3231335,23040.0,0.0
4159739,12509.7,78004335,792.0,0.0
4159739,12509.7,3934932,5836.8,0.0
4159739,12509.7,4275294,2656.0,0.0
4159739,12509.7,4225986,5077.8,0.0
4291296,8808.960000000001,4314613,2700.0,0.0
4291296,8808.960000000001,4044938,23616.0,0.0
4291296,8808.960000000001,30711,8401.8,0.0
4291296,8808.960000000001,4103219,5616.0,0.0
4291296,8808.960000000001,4265846,105.3,0.0
3903538,918.9950000000001,4276710,180.0,0.0
3903538,918.9950000000001,4061907,4410.0,0.0
3903538,918.9950000000001,53710,2640.0,0.0
3903538,918.9950000000001,3398465,4224.0,0.0
3903538,918.9950000000001,4329962,1835.6799999999998,0.0
4095507,810.0,3364667,438.45000000000005,0.0
4095507,810.0,4063280,14076.0,0.0
4095507,810.0,3235380,7369.5,0.0
4095507,810.0,4179231,3142.125,0.0
4095507,810.0,7315,1109.6,0.0
4322113,2400.0,4139632,1612.875,0.0
4322113,2400.0,3640592,1834.56,0.0
4322113,2400.0,3974933,630.032,0.0
4322113,2400.0,4302493,1368.0,0.0
4322113,2400.0,4061271,7411.824,0.0
3634676,17839.92,4135313,2400.0,0.0
3634676,17839.92,3629850,10200.0,0.0
3634676,17839.92,4354542,2520.0,0.0
3634676,17839.92,4208221,3537.408,0.0
3634676,17839.92,4207465,4795.2,0.0
4290208,160.0,4037647,14061.599999999999,0.0
4290208,160.0,3628337,2640.0,0.0
4290208,160.0,3631395,1368.0,0.0
4290208,160.0,4309948,433.2,0.0
4290208,160.0,4205392,7543.92,0.0
4147945,598.125,3667779,1336.5,0.0
4147945,598.125,35863,35955.0,0.0
4147945,598.125,3639314,1092.0,0.0
4147945,598.125,4323838,1905.024,0.0
4147945,598.125,3674360,962.0,0.0
3467275,28700.0,24276,420.0,0.0
3467275,28700.0,3219404,25200.0,0.0
3467275,28700.0,3651808,1330.0,0.0
3467275,28700.0,4125242,534.75,0.0
3467275,28700.0,3455922,73.5,0.0
53715,4680.0,3440967,4200.0,0.0
53715,4680.0,3977405,18759.0,0.0
53715,4680.0,3154164,18411.0,0.0
53715,4680.0,3617841,1472.0,0.0
53715,4680.0,3383668,4620.0,0.0
3634908,1728.0,28810,2219.52,0.0
3634908,1728.0,3165030,3998.8079999999995,0.0
3634908,1728.0,4365538,739.2629999999999,0.0
3634908,1728.0,4199312,39060.0,0.0
3634908,1728.0,3963665,7107.75,0.0
3415786,12825.0,80181,12852.0,0.0
3415786,12825.0,4198168,203.84,0.0
3415786,12825.0,4259205,700.0,0.0
3415786,12825.0,4303221,162.0,0.0
3415786,12825.0,3697858,2428.7999999999997,0.0
3656100,406.125,4339918,864.0,0.0
3656100,406.125,4174151,2400.0,0.0
3656100,406.125,27460,3549.0,0.0
3656100,406.125,2085953,1504.0,0.0
3656100,406.125,3486018,7680.0,0.0
3688758,66.64,2138420,3302.3999999999996,0.0
3688758,66.64,4227615,1543.5,0.0
3688758,66.64,78004824,805.0,0.0
3688758,66.64,3412845,9607.5,0.0
3688758,66.64,4037673,1133.67,0.0
3460325,54600.0,4196510,882.0,0.0
3460325,54600.0,4250688,176.715,0.0
3460325,54600.0,3416670,270.0,0.0
3460325,54600.0,3638992,214.32600000000002,0.0
3460325,54600.0,78029849,72.0,0.0
4291329,4386.72,4218727,396.0,0.0
4291329,4386.72,3402845,7560.0,0.0
