,order_id,plu_id,plu_hierarchy_lvl_2_desc,plu_hierarchy_lvl_3_desc
1647348,788692412,84652,Бакалея (Food),Соусы
2416072,807842998,4079047,Бакалея (Food),Консервы овощные
1174765,693109856,4078445,Молочная гастрономия,Сыры
119265,651785319,4158452,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
421304,678503497,69726,Детское питание (Fresh),Детские молочные продукты
25566,680843114,809,Овощи - Фрукты,Фрукты/Ягоды
1217981,761807694,45656,Овощи - Фрукты,Овощи/Грибы
1811591,873072469,2099571,Овощи - Фрукты,Овощи/Зелень
1267658,789165946,4055216,Кондитерские изделия (Food),Конфеты
368509,669090623,4132825,Кондитерские изделия (Food),"Шоколад, батончики"
1742235,849157189,3428312,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
310482,642349691,3487489,"Соки, воды, пиво","Напитки, квас, тоник"
1170761,730747045,26869,"Соки, воды, пиво","Соки, нектары"
2366626,835841594,3948371,Овощи - Фрукты,Фрукты/Экзотика
333334,648481201,3652233,Сопутствующие товары (Food),Средства личной гигиены
2014788,800983265,4123523,Овощи - Фрукты,Овощи/Зелень
1412279,784308840,4362747,Молочная гастрономия,Соврем.кислом.прод-ия
2100466,838660456,2131109,Кондитерские изделия (Food),Вафли
1467862,771610904,4299031,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
2146042,810118195,3953836,"Хлеб, хлебобулочные изделия (Food)",Хлеб ржаной
1314445,780372482,3906891,Молочная гастрономия,Сыры
1266758,790073239,31893,Овощи - Фрукты,Овощи/Зелень
420611,662166822,20063,Бакалея (Food),Консервы овощные
309464,672896145,3456395,Товары для дома,Одноразовая посуда
556996,650780878,60867,Бакалея (Food),Чай
2379242,872475677,21473,Кондитерские изделия (Food),Конфеты
634225,708446080,4102514,Замороженные продукты,Замороженная плодоовощная продукция
2241292,887214118,3394126,Рыба и рыбные изделия,Рыба охлажденная
798456,709844628,4009452,Кондитерские изделия (Food),"Печенье, крекер"
1293591,751324046,3644527,Сопутствующие товары (Food),"Моющие,чистящие средства"
1783880,837836633,3922315,Молочная гастрономия,Масложировые продукты
1973088,902578891,4113532,Молочная гастрономия,Масложировые продукты
1959252,823654112,2073281,Птица и изделия из птицы,Птица и П/Ф охлажденые
798244,690962133,3478641,Сопутствующие товары (Food),Хозяйственные принадлежности
1069643,690488062,3314610,Бакалея (Food),Консервы овощные
409415,673406814,3230933,Бакалея (Food),Сахар
294858,674951220,4244329,"Соки, воды, пиво","Соки, нектары"
1670453,753995495,4306387,"Соки, воды, пиво","Напитки, квас, тоник"
392224,651193514,3497959,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
909060,732081712,4078780,Бакалея (Food),Консервы овощные
134564,656603761,3203097,Молочная гастрономия,Соврем.кислом.прод-ия
737342,709706524,48188,Овощи - Фрукты,Фрукты/Ягоды
1052807,695222153,95713,"Хлеб, хлебобулочные изделия (Food)","Пироги, изделия сдобные"
1995338,865682365,3663531,Бакалея (Food),Специи
1420666,748998971,4230663,Мясо и мясные изделия,Мясо и П/Ф охлажденые
458351,663784876,809,Овощи - Фрукты,Фрукты/Ягоды
760064,694450489,3463468,Рыбная гастрономия,Пресервы
445190,653103755,4074180,Молочная гастрономия,Традиц.кислом.прод-ия
799431,720520462,3449118,Сопутствующие товары (Food),Целлюлозная и ватная продукция
296960,662550170,3632651,Сопутствующие товары (Food),Целлюлозная и ватная продукция
1562876,787843833,807,Овощи - Фрукты,Фрукты/Ягоды
1956550,881048633,4230860,Мясная гастрономия,Колбасные изделия
1152412,716570031,2058043,Молочная гастрономия,Соврем.кислом.прод-ия
2196568,813734043,4249867,Корма для животных,Корма для кошек
761908,719422045,4068699,Детское питание (Food),Детские консервированные смеси
894091,705823168,4233069,Сопутствующие товары (Food),"Моющие,чистящие средства"
395586,652284736,4109510,Кондитерские изделия (Food),"Шоколад, батончики"
402857,672299245,3623197,Кондитерские изделия (Food),Конфеты
1182411,716671610,3200024,Бакалея (Food),Чай
1854286,874027360,75638,Кондитерские изделия (Fresh),"Торты, пирожные свежие"
1685413,868953455,4221356,Молочная гастрономия,Традиц.кислом.прод-ия
1330820,745813375,3219528,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
2271271,813704318,3369648,Молочная гастрономия,Сыры
1748976,795167616,3328528,Молочная гастрономия,Молоко
1595966,792098233,4236458,Молочная гастрономия,Яйцо
181854,653324655,4213891,"Соки, воды, пиво","Напитки, квас, тоник"
1144995,708991391,3623327,Бакалея (Food),Продукция быстрого приготовления
1451367,740342723,2149542,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
1508577,752265336,3658095,Молочная гастрономия,Масложировые продукты
2268888,874201712,4045149,Мясная гастрономия,Колбасные изделия
540069,666914591,3676649,Овощи - Фрукты,Овощи/Грибы
2164191,855011240,4249849,Корма для животных,Корма для кошек
125470,646637376,3953590,Овощи - Фрукты,Овощи/Зелень
1419919,790612860,4308790,Молочная гастрономия,Молоко
2116227,806944463,4007208,Птица и изделия из птицы,Птица и П/Ф охлажденые
1451668,743067432,3608030,Замороженные продукты,Замороженная плодоовощная продукция
808308,694612025,3688024,"Готовая кулинария, салаты",Соленья ПРИСТ.
1669480,752930750,4322939,Бакалея (Food),Консервы овощные
262864,663851693,4049944,Бакалея (Food),Консервы рыбные
1582875,771180561,3964986,Бакалея (Food),Мука
1081764,720188214,3384223,Сопутствующие товары (Food),Хозяйственные принадлежности
1912843,803751076,31893,Овощи - Фрукты,Овощи/Зелень
652024,704153161,4129879,Молочная гастрономия,Масложировые продукты
1457695,754044658,4037666,Бакалея (Food),Макаронные изделия
2225474,796813040,3445265,Рыбная гастрономия,Крабовые палочки и мясо охлажденные
1994659,868375554,4353591,Мясная гастрономия,Колбасные изделия
528320,644987118,67047,Детское питание (Food),"Детские соки, чай, вода"
1674687,748491120,4349335,"Соки, воды, пиво","Напитки, квас, тоник"
1528711,764463932,3476555,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
1157956,704874968,3645807,Молочная гастрономия,Молоко
1902517,876437706,4378182,Сопутствующие товары (Food),Целлюлозная и ватная продукция
332720,653698736,4039926,Сопутствующие товары (Food),Целлюлозная и ватная продукция
972209,719171463,63021,Кондитерские изделия (Food),"Сухарики, снеки"
2098431,883259195,2057837,Кондитерские изделия (Food),Конфеты
1808676,852696705,3476099,Кондитерские изделия (Food),"Печенье, крекер"
50521,656004169,3491618,Молочная гастрономия,Масложировые продукты
2318391,888001759,3230933,Бакалея (Food),Сахар
723692,693221513,202,Овощи - Фрукты,Овощи/Грибы
2086162,855925930,4266111,Бакалея (Food),"Кофе, какао, шоколад"
450468,668872049,4326805,Замороженные продукты,Замороженные полуфабрикаты
709536,705901553,3483427,Молочная гастрономия,Десерты
410940,679410290,3953590,Овощи - Фрукты,Овощи/Зелень
1848824,852544512,3961888,Молочная гастрономия,Традиц.кислом.прод-ия
146642,669769690,4116756,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
1012305,713895037,4038850,Детское питание (Fresh),Детские молочные продукты
1188206,705923105,3376242,Молочная гастрономия,Масложировые продукты
1036376,703511238,4339348,Кондитерские изделия (Food),"Печенье, крекер"
42905,648442503,4235789,Молочная гастрономия,Традиц.кислом.прод-ия
2376272,840086422,2105514,Бакалея (Food),Крупы и зерновые
762426,734452744,3634678,"Соки, воды, пиво","Соки, нектары"
2155715,835288822,4049144,"Хлеб, хлебобулочные изделия (Food)",Хлеб ржаной
277914,653602405,4249306,Сопутствующие товары (Food),Средства для волос
1402988,788759238,4315309,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
99827,648276946,4276930,"Хлеб, хлебобулочные изделия (Food)",Хлеб прочий
1856634,862923068,3455564,Овощи - Фрукты,Фрукты/Ягоды
317166,660795722,2157147,Бакалея (Food),Консервы мясные
2193450,904394002,3360550,Кондитерские изделия (Food),"Сухарики, снеки"
1913325,875922666,4033776,Диабетическое питание,Бакалея диабетическая
730310,704991879,3914348,"Готовая кулинария, салаты",Соленья ПРИСТ.
1111663,694938180,3416253,Мясная гастрономия,Колбасные изделия
731970,728135328,3422802,Детское питание (Food),Детские консервированные смеси
945000,709641108,1564,Овощи - Фрукты,Овощи/Грибы
1898675,891955853,4331648,Сопутствующие товары (Food),Средства для душа
287526,672243938,3438373,Замороженные продукты,Замороженные полуфабрикаты
939789,686704010,3908730,Молочная гастрономия,Соврем.кислом.прод-ия
236180,674821799,809,Овощи - Фрукты,Фрукты/Ягоды
2376740,900045340,16791,Бакалея (Food),Консервы овощные
154259,645468560,3194287,Кондитерские изделия (Food),"Печенье, крекер"
97208,664769381,4057490,Мясо и мясные изделия,Мясо и П/Ф охлажденые
1173765,730769483,4239011,Бакалея (Food),"Сухие завтраки, мюсли"
2347690,837835753,3633950,Товары для животных,Товары для кошек
1137143,692468608,3965,Овощи - Фрукты,Овощи/Грибы
179329,666952816,3948578,Сопутствующие товары (Food),Хозяйственные принадлежности
647938,682676741,3657675,Овощи - Фрукты,Овощи/Зелень
966818,719187562,3301142,Птица и изделия из птицы,Птица и П/Ф охлажденые
1854840,895206045,3908730,Молочная гастрономия,Соврем.кислом.прод-ия
682179,722753198,4221674,Кондитерские изделия (Food),Вафли
35026,676042850,4277251,Мясная гастрономия,Колбасные изделия
223882,675517516,4027837,Молочная гастрономия,Сыры
750601,691258806,3379713,Мясная гастрономия,Деликатесы
2001335,842121447,4345302,Детское питание (Food),Детские консервированные смеси
1216700,735864003,4060846,Замороженные продукты,Замороженные полуфабрикаты
655025,711263675,4217907,Молочная гастрономия,Традиц.кислом.прод-ия
1490407,768969977,79338,Овощи - Фрукты,Фрукты/Экзотика
1190243,701913759,3985404,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
225492,681681131,3689648,Бакалея (Food),Консервы овощные
755500,725319922,3139745,"Соки, воды, пиво",Вода
793358,723083292,4204989,Птица и изделия из птицы,Птица и П/Ф охлажденые
1609860,755756706,3634678,"Соки, воды, пиво","Соки, нектары"
2022582,828969284,4292791,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
422072,646799478,4270701,Молочная гастрономия,Соврем.кислом.прод-ия
550489,659819874,4291718,Бакалея (Food),Консервы рыбные
991914,701096617,3459984,Молочная гастрономия,Сыры
1244696,780764363,3021692,Овощи - Фрукты,Фрукты/Ягоды
1509029,770973191,4135603,Молочная гастрономия,Масложировые продукты
1213460,726994796,3141247,"Соки, воды, пиво","Напитки, квас, тоник"
2169941,831294256,3203928,Молочная гастрономия,Молоко
1308466,765298891,4045920,Бакалея (Food),Мука
630108,719498587,3140747,Мясная гастрономия,Колбасные изделия
2120592,835995860,4333824,Молочная гастрономия,Молоко
1303216,783019620,4347972,"Хлеб, хлебобулочные изделия (Food)","Пироги, изделия сдобные"
568161,705631740,32120,Сопутствующие товары (Food),Гигиена рта
1189469,723961508,32943,Овощи - Фрукты,Фрукты/Ягоды
1753891,839917247,4293507,Рыбная гастрономия,"Рыба вяленая, сушеная"
2255625,851376681,3335518,"Соки, воды, пиво","Соки, нектары"
1127377,706347721,3062836,Молочная гастрономия,Яйцо
2299581,845594040,3064021,Овощи - Фрукты,Овощи/Зелень
393980,648223309,4207465,Сопутствующие товары (Food),"Моющие,чистящие средства"
1554987,758590903,4196826,Сопутствующие товары (Food),Средства для ухода за бельем и одеждой
1944520,887447105,3408570,Детские товары (Food),Дет. Ср-ва для белья и одежды
1739818,805976740,95713,"Хлеб, хлебобулочные изделия (Food)","Пироги, изделия сдобные"
311570,673281138,4324309,Товары спец.акций_2,Товары спец.акций_3
2333857,893203253,4321412,Сопутствующие товары (Food),Средства для волос
731254,727154658,3291332,Кондитерские изделия (Food),Конфеты
1893816,859264400,2065120,"Хлеб, хлебобулочные изделия (Food)",Хлеб пшеничный
903500,726580288,4298991,Молочная гастрономия,Соврем.кислом.прод-ия
1596352,773767873,4199312,Молочная гастрономия,Масложировые продукты
1203937,719304971,3436716,Молочная гастрономия,Сыры
550191,661908319,4191361,"Готовая кулинария, салаты",Гот.блюда охл.ПРИСТ
