,plu_id,plu_hierarchy_lvl_2_desc,plu_width_amt,plu_depth_amt,plu_height_amt,Квант
1376,4042054.0,Сопутствующие товары (Food),4.63,9.6,10.31,
1377,4311537.0,"Соки, воды, пиво",5.3,5.3,13.4,
1378,4286599.0,Мясная гастрономия,12.5,1.0,22.5,10.0
1379,3693337.0,Замороженные продукты,17.0,25.0,13.0,6.0
1380,4258657.0,Сопутствующие товары (Food),12.0,0.3,16.0,
1381,3442638.0,Бакалея (Food),16.5,5.0,7.0,
1382,4252966.0,Детское питание (Food),5.5,5.5,7.0,
1383,4288186.0,Мясная гастрономия,8.0,6.0,27.0,
1384,4252343.0,Замороженные продукты,9.9,9.9,11.2,
1385,4062931.0,Замороженные продукты,27.0,19.5,5.0,
1386,4058137.0,Бакалея (Food),7.5,3.0,15.0,
1387,3902934.0,Сопутствующие товары (Food),9.0,9.0,10.5,
1388,4258945.0,Кондитерские изделия (Food),7.7,4.0,2.3,
1389,4090362.0,Мясо и мясные изделия,10.5,14.8,2.0,
1390,4307846.0,"Соки, воды, пиво",6.2,6.2,15.8,12.0
1391,2063089.0,Кондитерские изделия (Food),14.0,6.0,19.0,
1392,3057885.0,Детское питание (Food),7.7,5.2,16.0,
1393,3423841.0,Бакалея (Food),8.7,8.7,5.2,24.0
1394,4276926.0,Мясная гастрономия,10.0,3.0,33.0,
1395,4008786.0,Молочная гастрономия,9.0,4.0,12.5,
1396,4152173.0,Сопутствующие товары (Food),2.2,5.2,22.9,
1397,3653933.0,Мясная гастрономия,14.0,15.5,6.0,
